35 52
92 64
13 53
51 31
72 76
124 64
62 154
16 132
105 218
20 168
73 67
94 75
101 26
136 130
37 114
118 75
52 116
113 176
138 166
36 314
39 54
98 102
80 124
17 97
57 116
38 189
33 163
84 208
83 75
88 135
126 198
58 123
11 129
125 56
114 38
110 18
86 54
2 247
111 200
63 147
140 122
46 170
67 149
81 145
25 223
70 297
106 159
60 202
76 246
90 70
135 97
68 189
48 44
109 55
77 74
75 49
104 87
119 89
43 225
129 214
74 189
29 44
71 210
54 92
131 150
28 213
78 81
96 45
132 171
15 156
21 181
100 210
0 93
115 204
40 186
26 186
49 107
133 136
50 66
128 99
89 48
69 81
6 190
1 142
79 44
31 192
55 204
85 137
91 419
112 214
97 129
24 212
87 230
65 113
116 77
139 65
3 412
95 75
56 102
107 81
127 320
27 73
103 210
121 29
30 417
10 227
117 102
99 163
123 242
120 40
23 148
82 33
102 172
14 57
34 131
64 212
7 150
12 176
122 29
41 295
61 116
134 116
59 40
19 49
141 170
42 87
4 90
44 192
45 165
8 494
5 143
47 259
32 323
18 198
66 140
137 63
9 79
53 99
22 190
130 137
93 125
108 352
